PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
11,144209798,16682804,CC(=O)O[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Active,88,,,active antagonist,active antagonist,0.193312,-112.405,active antagonist,0.863492,-92.2057,SIGMA
12,144208795,13806,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],Active,88,,,active antagonist,active antagonist,0.152929,-107.857,active antagonist,1.00266,-62.846,SigmaAldrich
13,170465048,30323,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,Active,87,,,active antagonist,active antagonist,0.181246,-109.243,inconclusive antagonist,26.6032,-55.2173,Microsource
14,170465705,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Active,87,,,active antagonist,active antagonist,0.167855,-108.309,active antagonist,0.841267,-31.374,Enzo
15,144213215,13806,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],Active,87,,,active antagonist,active antagonist,0.147772,-106.163,active antagonist,0.685896,-60.2111,Acros
16,170466414,9910986,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl,Active,87,,,active antagonist,active antagonist,0.133332,-103.499,inactive,,0,Sequoia
17,144209821,2734225,CCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],Active,86,,,active antagonist,active antagonist,0.432331,-121.881,inactive,,0,Io-li-tec
18,170465137,60699,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O.Cl,Active,86,,,active antagonist,active antagonist,0.211317,-108.742,active agonist,26.6032,964.144,Prestwick
19,144213707,16682834,CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,Active,85,,,active antagonist,active antagonist,0.371186,-115.298,active antagonist,1.72289,-92.7884,SIGMA
20,170465590,11969781,CC1C(C(CC(O1)OC2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N6CCOC(C6)OC)O,Active,85,,,active antagonist,active antagonist,0.118832,-97.3375,active antagonist,7.4978,-56.4317,GVK
21,144209828,23160059,CCCCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],Active,84,,,active antagonist,active antagonist,0.423688,-114.994,active antagonist,9.12808,-78.073,Io-li-tec
22,144211853,75444,CC[NH+]=C1C=CC(=C(C2=CC=C(C=C2)N(CC)CC)C3=CC=C(C=C3)N(CC)CC)C4=CC=CC=C14.[Cl-],Active,83,,,active antagonist,active antagonist,0.521117,-114.558,active antagonist,3.28802,-98.3954,LightBiologicals
23,144208357,62770,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,Active,83,,,active antagonist,active antagonist,0.41902,-111.687,active antagonist,58.0633,-104.395,LKT Lab
24,144207774,3015167,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],Active,82,,,active antagonist,active antagonist,0.825914,-122.572,active antagonist,6.81713,-97.9527,Cytec
25,144209827,46226173,[B-](F)(F)(F)F.CCCCCCCCCCCCN1C=C[N+](=C1)C,Active,82,,,active antagonist,active antagonist,0.416054,-108.729,active antagonist,8.30137,-71.1828,Io-li-tec
26,144208824,15096,CCCC[Sn](CCCC)(CCCC)Cl,Active,82,,,active antagonist,active antagonist,0.319012,-103.497,active antagonist,1.2222,-82.9267,SigmaAldrich
27,144212799,16682953,CC(=O)O[Pb](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,Active,81,,,active antagonist,active antagonist,0.769588,-116.868,active antagonist,5.66142,-103.058,LightBiologicals
28,144211636,4778,C1=CC=C(C=C1)[As]=O,Active,81,,,active antagonist,active antagonist,0.416478,-104.555,active antagonist,4.00798,-90.5054,SIGMA
29,144207512,6439929,C/C=C\1/C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Active,80,,,active antagonist,active antagonist,1.21599,-123.988,inactive,,0,ChromaDex
30,144209820,22078297,CCCCCCCCCCN1C=C[N+](=C1)C.[Br-],Active,80,,,active antagonist,active antagonist,0.687989,-111.496,inactive,,0,Io-li-tec
31,144209677,177,CC=O,Active,80,,,active antagonist,active antagonist,0.615314,-110.256,active antagonist,27.4851,-88.7028,SIGMA
32,170464627,636362,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl,Active,80,,,active antagonist,active antagonist,0.595572,-108.764,active antagonist,11.8832,-39.2138,Sequoia
33,144213954,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,80,,,active antagonist,active antagonist,0.560736,-105.892,inactive,,0,SIGMA
34,144207461,26633,CCN(CC)C(=S)[S-].CCN(CC)C(=S)[S-].[Zn+2],Active,80,,,active antagonist,active antagonist,0.481136,-103.454,inactive,,0,SigmaAldrich
35,170466349,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,80,,,active antagonist,active antagonist,0.390482,-98.9126,inactive,,0,Specs
36,144212248,31315,C1=CC=C2C(=C1)C(C(=O)N2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Active,79,,,active antagonist,active antagonist,0.504574,-100.705,inactive,,0,LightBiologicals
37,144211906,4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,Active,79,,,active antagonist,active antagonist,0.400798,-95.5499,inactive,,0,LightBiologicals
38,170465021,4493,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,Active,79,,,active antagonist,active antagonist,0.322305,-93.5626,inactive,,0,Microsource
39,144214033,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Active,79,,,active antagonist,active antagonist,0.162994,-83.7089,inactive,,0,SIGMA
40,144209978,472181,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],Active,78,,,active antagonist,active antagonist,0.902675,-109.307,active antagonist,3.32811,-76.2653,Sensient
41,144208356,6197,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,Active,78,,,active antagonist,active antagonist,0.708383,-105.629,inactive,,0,EMD Chemicals
42,144210821,3485262,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],Active,78,,,active antagonist,active antagonist,0.491587,-96.9696,inconclusive antagonist,,,LightBiologicals
43,144210721,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC,Active,78,,,active antagonist,active antagonist,0.243365,-85.2397,inactive,,0,Enamine
44,170466074,5463350,CCN1/C(=C/C=C/C2=[N+](C3=CC=CC=C3C=C2)CC)/C=CC4=CC=CC=C41.[I-],Active,77,,,active antagonist,active antagonist,2.37101,-134.888,active antagonist,7.79114,-84.4753,SIGMA
45,144212158,55245,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,Active,77,,,active antagonist,active antagonist,2.16899,-129.318,inconclusive antagonist,64.7528,-32.2204,LightBiologicals
46,144209830,16211417,CCCCCCCCCCCCN1C=C[N+](=C1)C.[I-],Active,77,,,active antagonist,active antagonist,1.27904,-114.746,inconclusive antagonist,,,Io-li-tec
47,170466778,6252910,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=NN=C(N)N)/C=C/C2=CC=C(O2)[N+](=O)[O-],Active,77,,,active antagonist,active antagonist,1.18832,-113.908,active antagonist,7.79114,-102.505,Timtec
48,144209858,2734229,CCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],Active,77,,,active antagonist,active antagonist,0.958026,-108.557,active antagonist,28.0572,-86.2387,Io-li-tec
49,170466798,8269,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,Active,77,,,active antagonist,active antagonist,0.287255,-85.1128,inactive,,0,Labotest
50,144207948,16212610,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,Active,76,,,active antagonist,active antagonist,1.85466,-120.281,active antagonist,13.6437,-101.046,Io-li-tec
51,144211556,62379,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Active,76,,,active antagonist,active antagonist,1.47772,-114.981,active antagonist,20.8733,-90.7584,SIGMA
52,144208226,2734117,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],Active,76,,,active antagonist,active antagonist,1.36576,-111.57,active antagonist,12.6486,-97.3772,SIGMA
53,170465712,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Active,76,,,active antagonist,active antagonist,1.05909,-104.488,active antagonist,3.61632,-62.0235,SIGMA
54,144209719,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Active,76,,,active antagonist,active antagonist,1.00676,-103.099,active antagonist,27.306,-115.4,Sensient
55,144209681,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,76,,,active antagonist,active antagonist,0.79833,-101.107,active antagonist,23.3802,-45.0013,Toronto Research
56,144208402,91649,CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O,Active,76,,,active antagonist,active antagonist,0.0951373,-69.7611,inactive,,0,Toronto Research
57,144209367,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,Active,75,,,active antagonist,active antagonist,1.8414,-114.479,active antagonist,62.8753,-36.5853,TCI
58,144208960,11057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Active,75,,,active antagonist,active antagonist,1.6496,-110.234,active antagonist,8.75747,-109.396,SigmaAldrich
59,144209207,9889168,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],Active,75,,,active antagonist,active antagonist,1.46871,-109.49,active antagonist,27.1395,-98.6693,Cytec
60,170465822,11296583,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O[C@@H]6CCCCO6,Active,75,,,active antagonist,active antagonist,1.49601,-109.47,active antagonist,23.7101,-61.9363,SIGMA
61,170464983,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,Active,75,,,active antagonist,active antagonist,0.438128,-83.3324,inactive,,0,Prestwick
62,144213211,11933,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,Active,75,,,active antagonist,active antagonist,0.33082,-80.5637,inactive,,0,SIGMA
63,144207756,84677,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)O)O,Active,75,,,active antagonist,active antagonist,0.305756,-79.1465,inactive,,0,SigmaAldrich
64,144213961,91649,CC(C)(C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F)O,Active,75,,,active antagonist,active antagonist,0.125873,-69.6742,inactive,,0,SIGMA
65,170465183,51082,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl,Active,74,,,active antagonist,active antagonist,4.21632,-142.058,active antagonist,21.1317,-73.3873,Microsource
66,144212551,6857648,[C-]#N.[C-]#N.[K+].[Au+],Active,74,,,active antagonist,active antagonist,1.86034,-111.972,active antagonist,7.99696,-100.04,LightBiologicals
67,144213861,9889168,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],Active,74,,,active antagonist,active antagonist,1.7903,-107.792,active antagonist,15.3553,-87.643,LightBiologicals
68,144209856,60196379,CCCCCCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Active,74,,,active antagonist,active antagonist,1.37133,-103.468,active antagonist,29.5443,-84.6877,Io-li-tec
69,144208460,68570,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,Active,74,,,active antagonist,active antagonist,0.475386,-81.0015,inactive,,0,SigmaAldrich
70,144208489,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,Active,74,,,active antagonist,active antagonist,0.304199,-74.9673,inactive,,0,SIGMA
71,144210308,,,Active,74,,,active antagonist,active antagonist,0.105909,-63.2364,inactive,,0,NTP-MRI Repository
72,144209845,18506491,[B-](F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C,Active,73,,,active antagonist,active antagonist,2.45594,-114.377,active antagonist,32.1281,-77.4779,Io-li-tec
73,144211179,15910,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,Active,73,,,active antagonist,active antagonist,2.43365,-114.211,active antagonist,15.956,-101.242,Enamine
74,144208007,16218822,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],Active,73,,,active antagonist,active antagonist,2.2722,-111.476,active antagonist,18.0487,-96.3947,Io-li-tec
75,144209910,60196397,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-],Active,73,,,active antagonist,active antagonist,2.10008,-109.326,active antagonist,22.6761,-96.2199,Io-li-tec
76,144212404,6099,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],Active,73,,,active antagonist,active antagonist,2.00875,-106.907,active antagonist,7.99696,-75.8799,Acros
77,144211228,5889665,COC1=C(C=C(C=C1)/C(=C/C(=O)N2CCOCC2)/C3=CC=C(C=C3)Cl)OC,Active,73,,,active antagonist,active antagonist,1.42208,-98.2085,inactive,,0,SIGMA
78,144211223,31200,CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-],Active,73,,,active antagonist,active antagonist,0.968854,-89.7222,inactive,,0,SIGMA
79,170466393,31315,C1=CC=C2C(=C1)C(C(=O)N2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Active,73,,,active antagonist,active antagonist,0.694386,-84.2431,inactive,,0,GVK
80,144211418,39676,CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C,Active,73,,,active antagonist,active antagonist,0.58829,-80.807,inactive,,0,SIGMA
81,144209358,39676,CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C,Active,73,,,active antagonist,active antagonist,0.541504,-80.7433,inactive,,0,SigmaAldrich
82,144210731,5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,Active,73,,,active antagonist,active antagonist,0.400798,-77.7287,inactive,,0,SIGMA
83,144207798,2734231,CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],Active,72,,,active antagonist,active antagonist,4.95966,-132.587,active antagonist,37.9127,-82.1143,Io-li-tec
84,144211195,7511,C1=CC=C(C=C1)[Hg]Cl,Active,72,,,active antagonist,active antagonist,2.6278,-111.344,active antagonist,8.97274,-91.5117,Acros
85,144209836,53316406,CCN1C=C[N+](=C1)C.CCOP(=O)([O-])OCC,Active,72,,,active antagonist,active antagonist,2.7084,-110.435,active antagonist,44.6046,-90.3187,Io-li-tec
86,170465357,6291,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,Active,72,,,active antagonist,active antagonist,2.28175,-107.278,inactive,,0,"Prestwick Chemical, Inc."
87,144208885,15910,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,Active,72,,,active antagonist,active antagonist,2.12715,-102.965,active antagonist,16.8966,-93.2918,SIGMA
88,144207536,2391,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,Active,72,,,active antagonist,active antagonist,0.891802,-87.5074,inactive,,0,SIGMA
89,144211364,9578570,C/C(=N\OCC1=CC=CC=C1/C(=N/OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F,Active,71,,,active antagonist,active antagonist,4.16478,-118.167,active antagonist,12.6743,-56.2474,SIGMA
90,144207923,3378440,C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,Active,71,,,active antagonist,active antagonist,3.97132,-116.681,active antagonist,25.0573,-101.55,SIGMA
91,144210854,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,Active,71,,,active antagonist,active antagonist,3.3082,-112.961,inactive,,0,SIGMA
92,144207569,7589,CCC(C)NC1=CC=C(C=C1)NC(C)CC,Active,71,,,active antagonist,active antagonist,3.0055,-107.508,active antagonist,23.8735,-101.689,SIGMA
93,144209846,60196375,CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Active,71,,,active antagonist,active antagonist,2.73616,-106.55,active antagonist,41.7325,-93.3431,Io-li-tec
94,144209736,,,Active,71,,,active antagonist,active antagonist,2.47827,-103.46,active antagonist,17.5448,-70.418,SIGMA
95,144213657,60196435,CC(=O)N1[C@@H]2[C@H]1[C@@]3([C@H](C4=C(C=C(C=C4OC)C=O)N(C2)O3)COC(=O)N)OC(=O)C,Active,71,,,active antagonist,active antagonist,1.53553,-93.3369,inactive,,0,Astellas Pharma
96,170465669,2194,COC1=CC=C(C=C1)C2=CC(=S)SS2,Active,71,,,active antagonist,active antagonist,1.33332,-90.7426,inactive,,0,Prestwick
97,170465000,5280360,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,Active,71,,,active antagonist,active antagonist,0.0266032,-45.8605,inactive,,0,Tocris
98,144211225,20708,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],Active,70,,,active antagonist,active antagonist,5.68558,-126.856,active antagonist,24.4404,-72.0746,SIGMA
99,170465151,55245,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,Active,70,,,active antagonist,active antagonist,4.38128,-115.621,inactive,,0,Prestwick
100,144209299,8152,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],Active,70,,,active antagonist,active antagonist,4.31451,-115.078,inconclusive antagonist,,,SigmaAldrich
101,144212002,62556,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,Active,70,,,active antagonist,active antagonist,4.00798,-114.782,active antagonist,12.1972,-89.0938,SIGMA
102,144210756,9935274,CC1=NC=CN1C2=CC=C(C=C2)SC3=CC=CC(=C3)C4(CCOCC4)C(=O)N.CS(=O)(=O)O,Active,70,,,active antagonist,active antagonist,4.00798,-114.26,active antagonist,12.1972,-51.8565,Pfizer
103,144213748,8816,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Active,70,,,active antagonist,active antagonist,3.65908,-111.583,active antagonist,26.9177,-84.607,SIGMA
104,144208747,8816,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],Active,70,,,active antagonist,active antagonist,3.08387,-107.565,active antagonist,37.362,-97.3781,TCI
105,144209086,8400,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,Active,70,,,active antagonist,active antagonist,3.21565,-105.816,inconclusive antagonist,,,SIGMA
106,144209825,2775940,CCCCCCCCCCN1C=C[N+](=C1C)CCCCCCCCCC.[Cl-],Active,70,,,active antagonist,active antagonist,3.18689,-104.079,active antagonist,28.4032,-77.4813,Io-li-tec
107,144207546,12456,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-],Active,70,,,active antagonist,active antagonist,3.14539,-103.1,active antagonist,16.6984,-56.2967,SIGMA
108,144209723,104827,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.O.O.O.[Cl-],Active,70,,,active antagonist,active antagonist,2.16505,-96.7247,active antagonist,10.851,-62.1987,Acros
109,170465451,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,70,,,active antagonist,active antagonist,1.58465,-88.9187,active antagonist,11.8832,-53.5039,Microsource
110,170465807,5756,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,Active,70,,,active antagonist,active antagonist,1.43968,-87.3764,inactive,,0,SIGMA
111,144209716,6450278,C/C=C/1\C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Active,70,,,active antagonist,active antagonist,1.34119,-86.0463,inactive,,0,ChromaDex
112,144209111,36242,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,Active,70,,,active antagonist,active antagonist,1.21476,-82.5643,inactive,,0,SIGMA
113,170465211,13765,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,Active,70,,,active antagonist,active antagonist,0.694386,-73.3788,inactive,,0,Sequoia
